name,symbol,market
현대홈쇼핑,057050.KS,KOSPI
녹십자홀딩스,005250.KS,KOSPI
프레스티지바이오파마,950210.KS,KOSPI
신한알파리츠,293940.KS,KOSPI
동아쏘시오홀딩스,000640.KS,KOSPI
삼양바이오팜,0120G0.KS,KOSPI
큐로셀,372320.KQ,KOSDAQ
미원에스씨,268280.KS,KOSPI
안랩,053800.KQ,KOSDAQ
SK이터닉스,475150.KS,KOSPI
인투셀,287840.KQ,KOSDAQ
비츠로넥스텍,488900.KQ,KOSDAQ
E1,017940.KS,KOSPI
OCI,456040.KS,KOSPI
신풍제약,019170.KS,KOSPI
미원상사,002840.KS,KOSPI
브이엠,089970.KQ,KOSDAQ
세아홀딩스,058650.KS,KOSPI
대한해운,005880.KS,KOSPI
브이티,018290.KQ,KOSDAQ
시노펙스,025320.KQ,KOSDAQ
율촌화학,008730.KS,KOSPI
인카금융서비스,211050.KQ,KOSDAQ
휴온스글로벌,084110.KQ,KOSDAQ
LX홀딩스,383800.KS,KOSPI
다날,064260.KQ,KOSDAQ
HEM파마,376270.KQ,KOSDAQ
금양,001570.KS,KOSPI
동운아나텍,094170.KQ,KOSDAQ
샘씨엔에스,252990.KQ,KOSDAQ
우리기술투자,041190.KQ,KOSDAQ
지엔씨에너지,119850.KQ,KOSDAQ
케이아이엔엑스,093320.KQ,KOSDAQ
카프로,006380.KS,KOSPI
나라스페이스테크놀로지,478340.KQ,KOSDAQ
천보,278280.KQ,KOSDAQ
코스모화학,005420.KS,KOSPI
한세실업,105630.KS,KOSPI
네오위즈,095660.KQ,KOSDAQ
신도리코,029530.KS,KOSPI
넥스트바이오메디컬,389650.KQ,KOSDAQ
프로텍,053610.KQ,KOSDAQ
LF,093050.KS,KOSPI
대신증권우,003545.KS,KOSPI
감성코퍼레이션,036620.KQ,KOSDAQ
고려제강,002240.KS,KOSPI
현대힘스,460930.KQ,KOSDAQ
아세아,002030.KS,KOSPI
성우하이텍,015750.KQ,KOSDAQ
비에이치,090460.KS,KOSPI
현대차증권,001500.KS,KOSPI
쏠리드,050890.KQ,KOSDAQ
한스바이오메드,042520.KQ,KOSDAQ
태웅,044490.KQ,KOSDAQ
아주IB투자,027360.KQ,KOSDAQ
제주은행,006220.KS,KOSPI
한국쉘석유,002960.KS,KOSPI
미코,059090.KQ,KOSDAQ
삼천리,004690.KS,KOSPI
바이오노트,377740.KS,KOSPI
세아제강지주,003030.KS,KOSPI
풍산홀딩스,005810.KS,KOSPI
제우스,079370.KQ,KOSDAQ
PI첨단소재,178920.KS,KOSPI
코미팜,041960.KQ,KOSDAQ
KG스틸,016380.KS,KOSPI
지노믹트리,228760.KQ,KOSDAQ
현대차3우B,005389.KS,KOSPI
티엘비,356860.KQ,KOSDAQ
한전산업,130660.KS,KOSPI
위메이드맥스,101730.KQ,KOSDAQ
에스티큐브,052020.KQ,KOSDAQ
솔루스첨단소재,336370.KS,KOSPI
DB증권,016610.KS,KOSPI
유니드,014830.KS,KOSPI
맵스리얼티,094800.KS,KOSPI
쿠쿠홈시스,284740.KS,KOSPI
메디아나,041920.KQ,KOSDAQ
덴티움,145720.KS,KOSPI
켐트로닉스,089010.KQ,KOSDAQ
롯데손해보험,000400.KS,KOSPI
드림텍,192650.KS,KOSPI
원익머트리얼즈,104830.KQ,KOSDAQ
덕산하이메탈,077360.KQ,KOSDAQ
동아에스티,170900.KS,KOSPI
에스티아이,039440.KQ,KOSDAQ
아모레퍼시픽우,090435.KS,KOSPI
신라젠,215600.KQ,KOSDAQ
현대그린푸드,453340.KS,KOSPI
HLB제약,047920.KQ,KOSDAQ
아이센스,099190.KQ,KOSDAQ
티에프이,425420.KQ,KOSDAQ
엔젤로보틱스,455900.KQ,KOSDAQ
재영솔루텍,049630.KQ,KOSDAQ
티로보틱스,117730.KQ,KOSDAQ
NICE,034310.KS,KOSPI
퓨쳐켐,220100.KQ,KOSDAQ
아스테라시스,450950.KQ,KOSDAQ
한양이엔지,045100.KQ,KOSDAQ
GST,083450.KQ,KOSDAQ
삼양사,145990.KS,KOSPI
한일홀딩스,003300.KS,KOSPI
우진,105840.KS,KOSPI
엠씨넥스,097520.KS,KOSPI
파이버프로,368770.KQ,KOSDAQ
에코마케팅,230360.KQ,KOSDAQ
일진하이솔루스,271940.KS,KOSPI
툴젠,199800.KQ,KOSDAQ
풀무원,017810.KS,KOSPI
애경케미칼,161000.KS,KOSPI
퍼시스,016800.KS,KOSPI
HLB생명과학,067630.KQ,KOSDAQ
유바이오로직스,206650.KQ,KOSDAQ
명신산업,009900.KS,KOSPI
엠로,058970.KQ,KOSDAQ
아세아시멘트,183190.KS,KOSPI
에이디테크놀로지,200710.KQ,KOSDAQ
태영건설,009410.KS,KOSPI
예스티,122640.KQ,KOSDAQ
삼양홀딩스,000070.KS,KOSPI
신대양제지,016590.KS,KOSPI
바이넥스,053030.KQ,KOSDAQ
씨앤씨인터내셔널,352480.KQ,KOSDAQ
제이알글로벌리츠,348950.KS,KOSPI
스틱인베스트먼트,026890.KS,KOSPI
조광피혁,004700.KS,KOSPI
삼양컴텍,484590.KQ,KOSDAQ
티웨이항공,091810.KS,KOSPI
삼성FN리츠,448730.KS,KOSPI
에스에이엠티,031330.KQ,KOSDAQ
신성이엔지,011930.KS,KOSPI
인바디,041830.KQ,KOSDAQ
데브시스터즈,194480.KQ,KOSDAQ
YG PLUS,037270.KS,KOSPI
제주항공,089590.KS,KOSPI
대한제강,084010.KS,KOSPI
INVENI,015360.KS,KOSPI
신세계인터내셔날,031430.KS,KOSPI
한중엔시에스,107640.KQ,KOSDAQ
코람코라이프인프라리츠,357120.KS,KOSPI
한국기업평가,034950.KQ,KOSDAQ
네패스,033640.KQ,KOSDAQ
휴메딕스,200670.KQ,KOSDAQ
이노스페이스,462350.KQ,KOSDAQ
HLB이노베이션,024850.KQ,KOSDAQ
가비아,079940.KQ,KOSDAQ
씨메스,475400.KQ,KOSDAQ
그린광학,0015G0.KQ,KOSDAQ
KCC글라스,344820.KS,KOSPI
삼양엔씨켐,482630.KQ,KOSDAQ
SPC삼립,005610.KS,KOSPI
유티아이,179900.KQ,KOSDAQ
바이오다인,314930.KQ,KOSDAQ
천일고속,000650.KS,KOSPI
월덱스,101160.KQ,KOSDAQ
티앤엘,340570.KQ,KOSDAQ
NH투자증권우,005945.KS,KOSPI
농심홀딩스,072710.KS,KOSPI
쓰리빌리언,394800.KQ,KOSDAQ
링크솔루션,474650.KQ,KOSDAQ
TCC스틸,002710.KS,KOSPI
한섬,020000.KS,KOSPI
큐리오시스,494120.KQ,KOSDAQ
케이씨,029460.KS,KOSPI
한화갤러리아,452260.KS,KOSPI
동국제강,460860.KS,KOSPI
대한광통신,010170.KQ,KOSDAQ
SGC에너지,005090.KS,KOSPI
삼아알미늄,006110.KS,KOSPI
흥아해운,003280.KS,KOSPI
피노,033790.KQ,KOSDAQ
알멕,354320.KQ,KOSDAQ
HL홀딩스,060980.KS,KOSPI
펨트론,168360.KQ,KOSDAQ
DI동일,001530.KS,KOSPI
갤럭시아머니트리,094480.KQ,KOSDAQ
DXVX,180400.KQ,KOSDAQ
강원에너지,114190.KQ,KOSDAQ
한양디지텍,078350.KQ,KOSDAQ
SK증권,001510.KS,KOSPI
슈어소프트테크,298830.KQ,KOSDAQ
서연이화,200880.KS,KOSPI
코오롱ENP,138490.KS,KOSPI
유진투자증권,001200.KS,KOSPI
칩스앤미디어,094360.KQ,KOSDAQ
부광약품,003000.KS,KOSPI
제이에스코퍼레이션,194370.KS,KOSPI
디아이티,110990.KQ,KOSDAQ
스맥,099440.KQ,KOSDAQ
KH바텍,060720.KQ,KOSDAQ
안트로젠,065660.KQ,KOSDAQ
BGF,027410.KS,KOSPI
디아이씨,092200.KS,KOSPI
쏘카,403550.KS,KOSPI
국일제지,078130.KQ,KOSDAQ
아이티켐,309710.KQ,KOSDAQ
KG케미칼,001390.KS,KOSPI
한텍,098070.KQ,KOSDAQ
에스비비테크,389500.KQ,KOSDAQ
CJ프레시웨이,051500.KQ,KOSDAQ
지씨셀,144510.KQ,KOSDAQ
한농화성,011500.KS,KOSPI
코세스,089890.KQ,KOSDAQ
파인엠텍,441270.KQ,KOSDAQ
대성산업,128820.KS,KOSPI
하이록코리아,013030.KQ,KOSDAQ
현대약품,004310.KS,KOSPI
에스바이오메딕스,304360.KQ,KOSDAQ
현대퓨처넷,126560.KS,KOSPI
에이스침대,003800.KQ,KOSDAQ
나우로보틱스,459510.KQ,KOSDAQ
오픈엣지테크놀로지,394280.KQ,KOSDAQ
보성파워텍,006910.KQ,KOSDAQ
한국피아이엠,448900.KQ,KOSDAQ
덕산테코피아,317330.KQ,KOSDAQ
서희건설,035890.KQ,KOSDAQ
인화정공,101930.KQ,KOSDAQ
대덕,008060.KS,KOSPI
수산인더스트리,126720.KS,KOSPI
유니테스트,086390.KQ,KOSDAQ
엑시콘,092870.KQ,KOSDAQ
티엠씨,217590.KS,KOSPI
에이유브랜즈,481070.KQ,KOSDAQ
진에어,272450.KS,KOSPI
대상홀딩스,084690.KS,KOSPI
코람코더원리츠,417310.KS,KOSPI
글로벌텍스프리,204620.KQ,KOSDAQ
KB스타리츠,432320.KS,KOSPI
더본코리아,475560.KS,KOSPI
남해화학,025860.KS,KOSPI
SAMG엔터,419530.KQ,KOSDAQ
일진홀딩스,015860.KS,KOSPI
나이벡,138610.KQ,KOSDAQ
에코앤드림,101360.KQ,KOSDAQ
애경산업,018250.KS,KOSPI
국도화학,007690.KS,KOSPI
오리엔탈정공,014940.KQ,KOSDAQ
대명에너지,389260.KQ,KOSDAQ
제테마,216080.KQ,KOSDAQ
두산2우B,000157.KS,KOSPI
넥센,005720.KS,KOSPI
SG,255220.KQ,KOSDAQ
미래나노텍,095500.KQ,KOSDAQ
세아제강,306200.KS,KOSPI
삼지전자,037460.KQ,KOSDAQ
루미르,474170.KQ,KOSDAQ
와이바이오로직스,338840.KQ,KOSDAQ
삼화전기,009470.KS,KOSPI
한솔아이원스,114810.KQ,KOSDAQ
신성에스티,416180.KQ,KOSDAQ
이지홀딩스,035810.KQ,KOSDAQ
영진약품,003520.KS,KOSPI
솔트룩스,304100.KQ,KOSDAQ
아세아제지,002310.KS,KOSPI
DB,012030.KS,KOSPI
콜마홀딩스,024720.KS,KOSPI
삼성전기우,009155.KS,KOSPI
SBS,034120.KS,KOSPI
한국철강,104700.KS,KOSPI
사조대림,003960.KS,KOSPI
SIMPAC,009160.KS,KOSPI
켄코아에어로스페이스,274090.KQ,KOSDAQ
롯데이노베이트,286940.KS,KOSPI
폰드그룹,472850.KQ,KOSDAQ
인탑스,049070.KQ,KOSDAQ
테라뷰,950250.KQ,KOSDAQ
에스오에스랩,464080.KQ,KOSDAQ
케이엔알시스템,199430.KQ,KOSDAQ
LS증권,078020.KQ,KOSDAQ
필에너지,378340.KQ,KOSDAQ
대동,000490.KS,KOSPI
하림,136480.KQ,KOSDAQ
와이지-원,019210.KQ,KOSDAQ
에이직랜드,445090.KQ,KOSDAQ
KISCO홀딩스,001940.KS,KOSPI
DS단석,017860.KS,KOSPI
헥토파이낸셜,234340.KQ,KOSDAQ
AP시스템,265520.KQ,KOSDAQ
대아티아이,045390.KQ,KOSDAQ
화승엔터프라이즈,241590.KS,KOSPI
사조산업,007160.KS,KOSPI
더즌,462860.KQ,KOSDAQ
케이프,064820.KQ,KOSDAQ
바이오니아,064550.KQ,KOSDAQ
일신방직,003200.KS,KOSPI
나무가,190510.KQ,KOSDAQ
휴온스,243070.KQ,KOSDAQ
삼미금속,012210.KQ,KOSDAQ
셀비온,308430.KQ,KOSDAQ
쿠콘,294570.KQ,KOSDAQ
유진기업,023410.KQ,KOSDAQ
